full_name,given_name,surname,full_name_plain,given_name_plain,surname_plain,irish_flag
Maria Bailey,Maria,Bailey,MariaBailey,Maria,Bailey,1
Pat Breen,Pat,Breen,PatBreen,Pat,Breen,1
Colm Brophy,Colm,Brophy,ColmBrophy,Colm,Brophy,1
Richard Bruton,Richard,Bruton,RichardBruton,Richard,Bruton,1
Peter Burke,Peter,Burke,PeterBurke,Peter,Burke,1
Catherine Byrne,Catherine,Byrne,CatherineByrne,Catherine,Byrne,1
Ciarán Cannon,Ciarán,Cannon,CiaranCannon,Ciaran,Cannon,1
Joe Carey,Joe,Carey,JoeCarey,Joe,Carey,1
Marcella Corcoran Kennedy,Marcella,Corcoran Kennedy,MarcellaCorcoranKennedy,Marcella,CorcoranKennedy,1
Simon Coveney,Simon,Coveney,SimonCoveney,Simon,Coveney,1
Michael Creed,Michael,Creed,MichaelCreed,Michael,Creed,1
Jim Daly,Jim,Daly,JimDaly,Jim,Daly,1
Michael D'Arcy,Michael,D'Arcy,MichaelDArcy,Michael,DArcy,1
John Deasy,John,Deasy,JohnDeasy,John,Deasy,1
Pat Deering,Pat,Deering,PatDeering,Pat,Deering,1
Regina Doherty,Regina,Doherty,ReginaDoherty,Regina,Doherty,1
Paschal Donohoe,Paschal,Donohoe,PaschalDonohoe,Paschal,Donohoe,1
Andrew Doyle,Andrew,Doyle,AndrewDoyle,Andrew,Doyle,1
Bernard Durkan,Bernard,Durkan,BernardDurkan,Bernard,Durkan,1
Damien English,Damien,English,DamienEnglish,Damien,English,1
Alan Farrell,Alan,Farrell,AlanFarrell,Alan,Farrell,1
Frances Fitzgerald,Frances,Fitzgerald,FrancesFitzgerald,Frances,Fitzgerald,1
Peter Fitzpatrick,Peter,Fitzpatrick,PeterFitzpatrick,Peter,Fitzpatrick,1
Charles Flanagan,Charles,Flanagan,CharlesFlanagan,Charles,Flanagan,1
Brendan Griffin,Brendan,Griffin,BrendanGriffin,Brendan,Griffin,1
Simon Harris,Simon,Harris,SimonHarris,Simon,Harris,1
Martin Heydon,Martin,Heydon,MartinHeydon,Martin,Heydon,1
Heather Humphreys,Heather,Humphreys,HeatherHumphreys,Heather,Humphreys,1
Paul Kehoe,Paul,Kehoe,PaulKehoe,Paul,Kehoe,1
Enda Kenny,Enda,Kenny,EndaKenny,Enda,Kenny,1
Seán Kyne,Seán,Kyne,SeanKyne,Sean,Kyne,1
Josepha Madigan,Josepha,Madigan,JosephaMadigan,Josepha,Madigan,1
Helen McEntee,Helen,McEntee,HelenMcEntee,Helen,McEntee,1
Joe McHugh,Joe,McHugh,JoeMcHugh,Joe,McHugh,1
Tony McLoughlin,Tony,McLoughlin,TonyMcLoughlin,Tony,McLoughlin,1
Mary Mitchell O'Connor,Mary,Mitchell O'Connor,MaryMitchellOConnor,Mary,MitchellOConnor,1
Dara Murphy,Dara,Murphy,DaraMurphy,Dara,Murphy,1
Eoghan Murphy,Eoghan,Murphy,EoghanMurphy,Eoghan,Murphy,1
Hildegarde Naughton,Hildegarde,Naughton,HildegardeNaughton,Hildegarde,Naughton,1
Tom Neville,Tom,Neville,TomNeville,Tom,Neville,1
Michael Noonan,Michael,Noonan,MichaelNoonan,Michael,Noonan,1
Kate O'Connell,Kate,O'Connell,KateOConnell,Kate,OConnell,1
Patrick O'Donovan,Patrick,O'Donovan,PatrickODonovan,Patrick,ODonovan,1
Fergus O'Dowd,Fergus,O'Dowd,FergusODowd,Fergus,ODowd,1
John Paul Phelan,John Paul,Phelan,JohnPaulPhelan,JohnPaul,Phelan,1
Michael Ring,Michael,Ring,MichaelRing,Michael,Ring,1
Noel Rock,Noel,Rock,NoelRock,Noel,Rock,1
David Stanton,David,Stanton,DavidStanton,David,Stanton,1
Leo Varadkar,Leo,Varadkar,LeoVaradkar,Leo,Varadkar,1
Bobby Aylward,Bobby,Aylward,BobbyAylward,Bobby,Aylward,1
John Brassil,John,Brassil,JohnBrassil,John,Brassil,1
Declan Breathnach,Declan,Breathnach,DeclanBreathnach,Declan,Breathnach,1
James Browne,James,Browne,JamesBrowne,James,Browne,1
Mary Butler,Mary,Butler,MaryButler,Mary,Butler,1
Thomas Byrne,Thomas,Byrne,ThomasByrne,Thomas,Byrne,1
Jackie Cahill,Jackie,Cahill,JackieCahill,Jackie,Cahill,1
Dara Calleary,Dara,Calleary,DaraCalleary,Dara,Calleary,1
Pat Casey,Pat,Casey,PatCasey,Pat,Casey,1
Shane Cassells,Shane,Cassells,ShaneCassells,Shane,Cassells,1
Jack Chambers,Jack,Chambers,JackChambers,Jack,Chambers,1
Lisa Chambers,Lisa,Chambers,LisaChambers,Lisa,Chambers,1
Niall Collins,Niall,Collins,NiallCollins,Niall,Collins,1
Barry Cowen,Barry,Cowen,BarryCowen,Barry,Cowen,1
John Curran,John,Curran,JohnCurran,John,Curran,1
Timmy Dooley,Timmy,Dooley,TimmyDooley,Timmy,Dooley,1
Seán Fleming,Seán,Fleming,SeanFleming,Sean,Fleming,1
"Pat ""the Cope"" Gallagher",Pat,Gallagher,PatGallagher,Pat,Gallagher,1
Seán Haughey,Seán,Haughey,SeanHaughey,Sean,Haughey,1
Billy Kelleher,Billy,Kelleher,BillyKelleher,Billy,Kelleher,1
John Lahart,John,Lahart,JohnLahart,John,Lahart,1
James Lawless,James,Lawless,JamesLawless,James,Lawless,1
Marc MacSharry,Marc,MacSharry,MarcMacSharry,Marc,MacSharry,1
Micheál Martin,Micheál,Martin,MichealMartin,Micheal,Martin,1
Charlie McConalogue,Charlie,McConalogue,CharlieMcConalogue,Charlie,McConalogue,1
Michael McGrath,Michael,McGrath,MichaelMcGrath,Michael,McGrath,1
John McGuinness,John,McGuinness,JohnMcGuinness,John,McGuinness,1
Aindrias Moynihan,Aindrias,Moynihan,AindriasMoynihan,Aindrias,Moynihan,1
Michael Moynihan,Michael,Moynihan,MichaelMoynihan,Michael,Moynihan,1
Eugene Murphy,Eugene,Murphy,EugeneMurphy,Eugene,Murphy,1
Margaret Murphy O'Mahony,Margaret,Murphy O'Mahony,MargaretMurphyOMahony,Margaret,MurphyOMahony,1
Darragh O'Brien,Darragh,O'Brien,DarraghOBrien,Darragh,OBrien,1
Jim O'Callaghan,Jim,O'Callaghan,JimOCallaghan,Jim,OCallaghan,1
Éamon Ó Cuív,Éamon,Ó Cuív,EamonOCuiv,Eamon,OCuiv,1
Willie O'Dea,Willie,O'Dea,WillieODea,Willie,ODea,1
Seán Ó Fearghaíl,Seán,Ó Fearghaíl,SeanOFearghail,Sean,OFearghail,1
Kevin O'Keeffe,Kevin,O'Keeffe,KevinOKeeffe,Kevin,OKeeffe,1
Fiona O'Loughlin,Fiona,O'Loughlin,FionaOLoughlin,Fiona,OLoughlin,1
Frank O'Rourke,Frank,O'Rourke,FrankORourke,Frank,ORourke,1
Anne Rabbitte,Anne,Rabbitte,AnneRabbitte,Anne,Rabbitte,1
Eamon Scanlon,Eamon,Scanlon,EamonScanlon,Eamon,Scanlon,1
Brendan Smith,Brendan,Smith,BrendanSmith,Brendan,Smith,1
Niamh Smyth,Niamh,Smyth,NiamhSmyth,Niamh,Smyth,1
Robert Troy,Robert,Troy,RobertTroy,Robert,Troy,1
Gerry Adams,Gerry,Adams,GerryAdams,Gerry,Adams,1
John Brady,John,Brady,JohnBrady,John,Brady,1
Pat Buckley,Pat,Buckley,PatBuckley,Pat,Buckley,1
Seán Crowe,Seán,Crowe,SeanCrowe,Sean,Crowe,1
David Cullinane,David,Cullinane,DavidCullinane,David,Cullinane,1
Pearse Doherty,Pearse,Doherty,PearseDoherty,Pearse,Doherty,1
Dessie Ellis,Dessie,Ellis,DessieEllis,Dessie,Ellis,1
Martin Ferris,Martin,Ferris,MartinFerris,Martin,Ferris,1
Kathleen Funchion,Kathleen,Funchion,KathleenFunchion,Kathleen,Funchion,1
Martin Kenny,Martin,Kenny,MartinKenny,Martin,Kenny,1
Mary Lou McDonald,Mary Lou,McDonald,MaryLouMcDonald,MaryLou,McDonald,1
Denise Mitchell,Denise,Mitchell,DeniseMitchell,Denise,Mitchell,1
Imelda Munster,Imelda,Munster,ImeldaMunster,Imelda,Munster,1
Carol Nolan,Carol,Nolan,CarolNolan,Carol,Nolan,1
Caoimhghín Ó Caoláin,Caoimhghín,Ó Caoláin,CaoimhghinOCaolain,Caoimhghin,OCaolain,1
Jonathan O'Brien,Jonathan,O'Brien,JonathanOBrien,Jonathan,OBrien,1
Eoin Ó Broin,Eoin,Ó Broin,EoinOBroin,Eoin,OBroin,1
Donnchadh Ó Laoghaire,Donnchadh,Ó Laoghaire,DonnchadhOLaoghaire,Donnchadh,OLaoghaire,1
