full_name,given_name,surname,irish_flag
Maria Bailey,Maria,Bailey,1
Pat Breen,Pat,Breen,1
Colm Brophy,Colm,Brophy,1
Richard Bruton,Richard,Bruton,1
Peter Burke,Peter,Burke,1
Catherine Byrne,Catherine,Byrne,1
Ciarán Cannon,Ciarán,Cannon,1
Joe Carey,Joe,Carey,1
Marcella Corcoran Kennedy,Marcella,Corcoran Kennedy,1
Simon Coveney,Simon,Coveney,1
Michael Creed,Michael,Creed,1
Jim Daly,Jim,Daly,1
Michael D'Arcy,Michael,D'Arcy,1
John Deasy,John,Deasy,1
Pat Deering,Pat,Deering,1
Regina Doherty,Regina,Doherty,1
Paschal Donohoe,Paschal,Donohoe,1
Andrew Doyle,Andrew,Doyle,1
Bernard Durkan,Bernard,Durkan,1
Damien English,Damien,English,1
Alan Farrell,Alan,Farrell,1
Frances Fitzgerald,Frances,Fitzgerald,1
Peter Fitzpatrick,Peter,Fitzpatrick,1
Charles Flanagan,Charles,Flanagan,1
Brendan Griffin,Brendan,Griffin,1
Simon Harris,Simon,Harris,1
Martin Heydon,Martin,Heydon,1
Heather Humphreys,Heather,Humphreys,1
Paul Kehoe,Paul,Kehoe,1
Enda Kenny,Enda,Kenny,1
Seán Kyne,Seán,Kyne,1
Josepha Madigan,Josepha,Madigan,1
Helen McEntee,Helen,McEntee,1
Joe McHugh,Joe,McHugh,1
Tony McLoughlin,Tony,McLoughlin,1
Mary Mitchell O'Connor,Mary,Mitchell O'Connor,1
Dara Murphy,Dara,Murphy,1
Eoghan Murphy,Eoghan,Murphy,1
Hildegarde Naughton,Hildegarde,Naughton,1
Tom Neville,Tom,Neville,1
Michael Noonan,Michael,Noonan,1
Kate O'Connell,Kate,O'Connell,1
Patrick O'Donovan,Patrick,O'Donovan,1
Fergus O'Dowd,Fergus,O'Dowd,1
John Paul Phelan,John Paul,Phelan,1
Michael Ring,Michael,Ring,1
Noel Rock,Noel,Rock,1
David Stanton,David,Stanton,1
Leo Varadkar,Leo,Varadkar,1
Bobby Aylward,Bobby,Aylward,1
John Brassil,John,Brassil,1
Declan Breathnach,Declan,Breathnach,1
James Browne,James,Browne,1
Mary Butler,Mary,Butler,1
Thomas Byrne,Thomas,Byrne,1
Jackie Cahill,Jackie,Cahill,1
Dara Calleary,Dara,Calleary,1
Pat Casey,Pat,Casey,1
Shane Cassells,Shane,Cassells,1
Jack Chambers,Jack,Chambers,1
Lisa Chambers,Lisa,Chambers,1
Niall Collins,Niall,Collins,1
Barry Cowen,Barry,Cowen,1
John Curran,John,Curran,1
Timmy Dooley,Timmy,Dooley,1
Seán Fleming,Seán,Fleming,1
"Pat ""the Cope"" Gallagher",Pat,Gallagher,1
Seán Haughey,Seán,Haughey,1
Billy Kelleher,Billy,Kelleher,1
John Lahart,John,Lahart,1
James Lawless,James,Lawless,1
Marc MacSharry,Marc,MacSharry,1
Micheál Martin,Micheál,Martin,1
Charlie McConalogue,Charlie,McConalogue,1
Michael McGrath,Michael,McGrath,1
John McGuinness,John,McGuinness,1
Aindrias Moynihan,Aindrias,Moynihan,1
Michael Moynihan,Michael,Moynihan,1
Eugene Murphy,Eugene,Murphy,1
Margaret Murphy O'Mahony,Margaret,Murphy O'Mahony,1
Darragh O'Brien,Darragh,O'Brien,1
Jim O'Callaghan,Jim,O'Callaghan,1
Éamon Ó Cuív,Éamon,Ó Cuív,1
Willie O'Dea,Willie,O'Dea,1
Seán Ó Fearghaíl,Seán,Ó Fearghaíl,1
Kevin O'Keeffe,Kevin,O'Keeffe,1
Fiona O'Loughlin,Fiona,O'Loughlin,1
Frank O'Rourke,Frank,O'Rourke,1
Anne Rabbitte,Anne,Rabbitte,1
Eamon Scanlon,Eamon,Scanlon,1
Brendan Smith,Brendan,Smith,1
Niamh Smyth,Niamh,Smyth,1
Robert Troy,Robert,Troy,1
Gerry Adams,Gerry,Adams,1
John Brady,John,Brady,1
